TestID,Category,Objective,SQL,ExpectedResult,Notes,Result,Comment
SCHEMA-01,Schema Validation,Verify each table has a primary key,SELECT table_name FROM information_schema.table_constraints WHERE table_schema='mmpdb' AND constraint_type='PRIMARY KEY';,"Result contains admin_user,appointment,claim,doctor,fee,message,patient,report,reports",Compare result to expected list,Pass,
PK-01,Primary Key,Enforce PK uniqueness on patient.id,"INSERT INTO patient (id,first_name) VALUES (601,'A'); INSERT INTO patient (id,first_name) VALUES (601,'B');",Second insert fails with duplicate primary key error,Rollback second insert,Pass,"got error message as expected. ""Error Code: 1062. Duplicate entry '601' for key 'patient.PRIMARY'"""
UK-01,Unique Constraint,Enforce uniqueness on doctor.username,"INSERT INTO doctor (id,username) VALUES (700,'doc1'); INSERT INTO doctor (id,username) VALUES (701,'doc1');",Second insert fails with UNIQUE constraint violation,Verify index exists on username,Pass,"got error message as expected. ""Error Code: 1062. Duplicate entry 'doc1' for key 'doctor.username''"""
RI-01,Referential Integrity,Insert appointment with valid doctor and patient,"INSERT INTO doctor (id,name) VALUES (100,'D'); 
INSERT INTO patient (id,first_name) VALUES (200,'P'); 
INSERT INTO appointment (id,appointment_date_time,doctor_id,patient_id) VALUES (300,NOW(),100,200);",Appointment inserts successfully,Commit transaction and verify row exists,,
RI-02,Referential Integrity,Insert appointment with non-existent doctor,"INSERT INTO appointment (id,appointment_date_time,doctor_id,patient_id) VALUES (301,NOW(),9999,200);",Insert fails with foreign key violation,Ensure FK constraint prevents orphan,,
RI-03,Referential Integrity,Delete doctor referenced by appointment,DELETE FROM doctor WHERE id = 100;,Delete fails with FK violation or is restricted,Expect failure unless FK has ON DELETE CASCADE,,
RI-04,Referential Integrity,Insert claim referencing appointment fee and patient,"INSERT INTO fee (id,amount,appointment_id) VALUES (400,50.00,300); INSERT INTO claim (id,claim_amount,appointment_id,fee_id,patient_id) VALUES (500,100.00,300,400,200);",Claim inserts successfully,Verify claim row and FK links,,
RI-05,Referential Integrity,Delete appointment referenced by claim,DELETE FROM appointment WHERE id = 300;,Delete fails with FK violation,Expect failure unless cascade configured,,
FK-ORPHAN-01,Orphan Check,Find orphaned claim.appointment_id rows,SELECT c.id FROM claim c LEFT JOIN appointment a ON c.appointment_id = a.id WHERE a.id IS NULL;,No rows returned,Run after bulk operations or imports,,
COL-01,Nullability,Insert appointment omitting non-nullable PK,INSERT INTO appointment (appointment_date_time) VALUES (NOW());,Insert fails due to missing primary key or explicit id requirement,If id is AUTO_INCREMENT adjust test accordingly,,
