SCENARIO,TEST CASE ID,PRECONDITION,TEST CASE NAME,DESCRIPTION,TEST STEPS,TEST DATA,EXPECTED,ACTUAL,RESULTS,COMMENTS,PRIORITY
Login Security,TC-PAT-SEC-01,None,SQL Injection in Username Field,Verify system prevents SQL injection in username,"1. Open login page 2. Enter SQL payload in username 3. Enter any password 4. Click Login","' OR '1'='1","Validation error; No login allowed",Pending,Pending,,High
Login Security,TC-PAT-SEC-02,None,SQL Injection in Password Field,Verify system prevents SQL injection in password,"1. Open login page 2. Enter valid username 3. Enter SQL payload in password 4. Click Login","patient1 / ' OR '1'='1","Invalid credentials; No login",Pending,Pending,,High
Login Security,TC-PAT-SEC-03,TC-PAT-LOGIN-01,Brute Force Login Attempt,Verify system blocks repeated failed login attempts,"1. Enter wrong password repeatedly 2. Observe system behavior","5+ invalid attempts","Account lockout or captcha triggered",Pending,Pending,,High
Login Security,TC-PAT-SEC-04,None,Weak Password Validation,Verify system rejects weak passwords,"1. Enter valid username 2. Enter weak password 3. Click Login","12345","Validation error",Pending,Pending,,Medium
Login Security,TC-PAT-SEC-05,TC-PAT-LOGIN-01,Password Masking,Verify password characters are masked,"1. Open login page 2. Type password 3. Observe masking","Mmp@2025!","Password masked with dots",Pending,Pending,,Medium

Session Security,TC-PAT-SEC-06,TC-PAT-LOGIN-02,Session Timeout,Verify session expires after inactivity,"1. Login 2. Stay idle for timeout duration 3. Attempt navigation","Idle > timeout","Redirect to login; Session expired",Pending,Pending,,High
Session Security,TC-PAT-SEC-07,TC-PAT-LOGOUT-01,Back Button After Logout,Verify secure pages cannot be accessed after logout,"1. Logout 2. Press browser back arrow",N/A,"Dashboard should NOT load; Redirect to login",Pending,Pending,"User reported issue: back button loads previous page",High
Session Security,TC-PAT-SEC-08,TC-PAT-LOGIN-02,Cache Control,Verify sensitive pages are not cached,"1. Login 2. Navigate to Home/Profile/Fees 3. Logout 4. Press back button",N/A,"No cached data; Redirect to login",Pending,Pending,,High
Session Security,TC-PAT-SEC-09,TC-PAT-LOGIN-02,Session Hijacking Attempt,Verify session cookies cannot be reused,"1. Login 2. Copy session cookie 3. Logout 4. Paste cookie in new tab","Session cookie","Session invalid; Redirect to login",Pending,Pending,,High

Access Control,TC-PAT-SEC-10,None,URL Manipulation - Home Page,Verify home page cannot be accessed without login,"1. Logout 2. Enter /patient/home URL manually",N/A,"Redirect to login; No unauthorized access",Pending,Pending,,High
Access Control,TC-PAT-SEC-11,None,URL Manipulation - Profile Page,Verify profile cannot be accessed without session,"1. Logout 2. Enter /patient/profile URL manually",N/A,"Redirect to login",Pending,Pending,,High
Access Control,TC-PAT-SEC-12,None,URL Manipulation - Fees Page,Verify fees page cannot be accessed without login,"1. Logout 2. Enter /patient/fees URL manually",N/A,"Redirect to login",Pending,Pending,,High
Access Control,TC-PAT-SEC-13,None,URL Manipulation - Reports Page,Verify reports cannot be accessed without login,"1. Logout 2. Enter /patient/reports URL manually",N/A,"Redirect to login",Pending,Pending,,High
Access Control,TC-PAT-SEC-14,None,URL Manipulation - Messages Page,Verify messages cannot be accessed without login,"1. Logout 2. Enter /patient/messages URL manually",N/A,"Redirect to login",Pending,Pending,,High

Input Validation,TC-PAT-SEC-15,TC-PAT-PROF-01,HTML Injection in Profile Fields,Verify system sanitizes HTML tags,"1. Open Profile 2. Enter <script>alert(1)</script> in name/email fields 3. Click Save","<script>alert(1)</script>","HTML sanitized; No script execution",Pending,Pending,,High
Input Validation,TC-PAT-SEC-16,TC-PAT-MSG-01,HTML Injection in Messages,Verify system sanitizes HTML tags in messages,"1. Open Messages 2. Enter <script>alert(1)</script> 3. Click Send","<script>alert(1)</script>","Script should not execute",Pending,Pending,,High
Input Validation,TC-PAT-SEC-17,TC-PAT-SCH-01,XSS in Appointment Reason Field,Verify appointment reason does not execute scripts,"1. Open Schedule Appointment 2. Enter script payload in Reason 3. Save appointment","<img src=x onerror=alert(1)>","Displayed as text; No script execution",Pending,Pending,,High

Data Security,TC-PAT-SEC-18,TC-PAT-PROF-01,Invalid Data Exposure in URL,Verify no sensitive data appears in URL,"1. Navigate through portal 2. Observe URL parameters",N/A,"No passwords/tokens in URL",Pending,Pending,,High
Data Security,TC-PAT-SEC-19,TC-PAT-RPT-01,Unauthorized Report Access,Verify patient cannot access another patient's report,"1. Modify report?id=XYZ in URL","Different report ID","Access denied or error message",Pending,Pending,,High

File Security,TC-PAT-SEC-20,TC-PAT-FEE-01,Malicious File Upload Attempt,Verify system rejects harmful file uploads,"1. Navigate to Fees 2. Upload .exe file","malware.exe","Upload rejected; Error message",Pending,Pending,,High

Network Security,TC-PAT-SEC-21,None,HTTPS Enforcement,Verify login page loads only over HTTPS,"1. Enter HTTP URL 2. Observe redirection","http://82.197.92.72:8080/patient/login","Redirect to HTTPS or secure warning",Pending,Pending,,High

Performance Security,TC-PAT-SEC-22,TC-PAT-LOGIN-02,Rate Limiting,Verify system rate-limits rapid requests,"1. Send rapid login attempts 2. Observe response","Multiple rapid requests","429 Too Many Requests or temporary block",Pending,Pending,,Medium
